full_name,html_url,description,stargazers_count
"Fabien-Chouteau/GESTE","https://github.com/Fabien-Chouteau/GESTE","GEneric Sprite and Tile Engine",11
"dempfi/ayu","https://github.com/dempfi/ayu","🎨🖌 Modern Sublime Text theme",3717
"karminski/EVA-theme","https://github.com/karminski/EVA-theme","EVA(Neon Genesis Evangelion) style  custom UI themes for Sublime Text 2",28
"nDroidProject/nDroid-bootloader","https://github.com/nDroidProject/nDroid-bootloader","nDroid Bootloader Source Tree",10
"evanw/webgl-water","https://github.com/evanw/webgl-water","WebGL Water Demo",588
"wapiflapi/binglide","https://github.com/wapiflapi/binglide","Visual reverse engineering tool. Veles is better, use it. Don't use this.",564
"s-matyukevich/raspberry-pi-os","https://github.com/s-matyukevich/raspberry-pi-os","Learning operating system development using Linux kernel and Raspberry Pi",9735
"uchan-nos/git-extract-tags","https://github.com/uchan-nos/git-extract-tags","A tool to support git-based textbook writing",3
"wakabame/2D_wave_FTCS","https://github.com/wakabame/2D_wave_FTCS","solve wave equation by Forward in Time and Centered Difference method and create gif file",2
"itchyny/lightline.vim","https://github.com/itchyny/lightline.vim","A light and configurable statusline/tabline plugin for Vim",5170
"kory33/scala-proofs","https://github.com/kory33/scala-proofs","An attempt to build axiomatic, formal set theory on top of Scala.",32
"Rapptz/discord.py","https://github.com/Rapptz/discord.py","An API wrapper for Discord written in Python.",6226
"hikalium/randlogo","https://github.com/hikalium/randlogo","Random logo generator",5
"NARKOZ/hacker-scripts","https://github.com/NARKOZ/hacker-scripts","Based on a true story",40345
"aozorabunko/aozorabunko","https://github.com/aozorabunko/aozorabunko",,635
"ricsinaruto/Seq2seqChatbots","https://github.com/ricsinaruto/Seq2seqChatbots","A wrapper around tensor2tensor to flexibly train, interact, and generate data for neural chatbots.",457
"yui540/hyper-akari","https://github.com/yui540/hyper-akari","🦋ハロー、ハイパーアカリだよ！( •̀ᴗ•́ )/ﾋﾟﾛﾘﾝ🦋",87
"arXivTimes/arXivTimes","https://github.com/arXivTimes/arXivTimes","repository to research & share the machine learning articles",3399
"FabianLauer/chrome-vs-code","https://github.com/FabianLauer/chrome-vs-code","A web browser integrated in VS Code editor tabs. :radioactive: experimental :radioactive:",339
"swissmicros/DM42PGM","https://github.com/swissmicros/DM42PGM",,36
"CE-Programming/asm-docs","https://github.com/CE-Programming/asm-docs","Documentation about native assembly programming on the TI CE calculators (84+CE / 83PCE)",27
"jendewalt/jennifer_dewalt","https://github.com/jendewalt/jennifer_dewalt","a.k.a. 180 Websites in 180 Days",1094
"hoffa/nSDL","https://github.com/hoffa/nSDL","SDL for TI-Nspire calculators",24
"yui540/satella.io","https://github.com/yui540/satella.io","イラストに「命」を吹き込むソフトウェア",278
"CE-Programming/toolchain","https://github.com/CE-Programming/toolchain","Toolchain and libraries for C/C++ programming on the TI-84+ CE calculator series",216
"Vane11ope/.files","https://github.com/Vane11ope/.files",,6
"ac100v/bad_apple_fx-9860gii","https://github.com/ac100v/bad_apple_fx-9860gii","Bad Apple!! demonstration on CASIO fx-9860GII",4
"tonsky/FiraCode","https://github.com/tonsky/FiraCode","Free monospaced font with programming ligatures",52945
"EzoeRyou/cpp17book","https://github.com/EzoeRyou/cpp17book","textbook for C++17",353
"EzoeRyou/cpp-book","https://github.com/EzoeRyou/cpp-book","C++11 textbook",561
"EzoeRyou/cpp14-appendix","https://github.com/EzoeRyou/cpp14-appendix","Appendix for C++14 features",45
"alberthdev/spasm-ng","https://github.com/alberthdev/spasm-ng","SPASM-ng is a z80 assembler with extra features to support development for TI calculators. ",53
"KnightOS/kernel","https://github.com/KnightOS/kernel","Kernel for z80 calculators",244
"utz82/HoustonTracker2","https://github.com/utz82/HoustonTracker2","A music editor for TI graphing calculators",153
"csound/csound","https://github.com/csound/csound","Main repository for Csound",816
"chrislgarry/Apollo-11","https://github.com/chrislgarry/Apollo-11","Original Apollo 11 Guidance Computer (AGC) source code for the command and lunar modules.",49781
"algon-320/KIDE","https://github.com/algon-320/KIDE","コンパイル・実行・サンプルケーステスト・提出などを自動化する競プロ用ツール (linux/mac向け)",6
"KnightOS/KnightOS","https://github.com/KnightOS/KnightOS","OS for z80 calculators",1168
"parrotgeek1/TI-Nspire","https://github.com/parrotgeek1/TI-Nspire","A collection of information, tools, and exploits for TI-Nspire calculators.",20
"numworks/epsilon","https://github.com/numworks/epsilon","Modern graphing calculator operating system.",1105
"Siv3D/OpenSiv3D","https://github.com/Siv3D/OpenSiv3D","🦖 C++17/C++20 framework for creative coding",481
"ndless-nspire/Luna","https://github.com/ndless-nspire/Luna","Create TNS files from Lua and XML",18
"0xFireball/nspire-nd","https://github.com/0xFireball/nspire-nd","a simple cross-platform (desktop+ndless) 2d graphics lib",2
"osdev-jp/osdev-jp.github.io","https://github.com/osdev-jp/osdev-jp.github.io",,100
"tangrs/nspire-linux-loader2","https://github.com/tangrs/nspire-linux-loader2","A Linux bootloader for Nspire. Supports ATAG and DTB booting.",45
"online-judge-tools/oj","https://github.com/online-judge-tools/oj","Tools for various online judges. Downloading sample cases, generating additional test cases, testing your code, and submitting it.",466
"formulahendry/vscode-code-runner","https://github.com/formulahendry/vscode-code-runner","Code Runner for Visual Studio Code",1197
"Excale/nLaunchy","https://github.com/Excale/nLaunchy","Set of programs and crafted OS updates enabling users to install and launch arbitrary OS updates (especially Linux) on the TI-Nspire calculator.",42
"Vogtinator/nGL","https://github.com/Vogtinator/nGL","3D graphics lib for Ndless (and possibly other systems)",21
"tangrs/nLaunchy","https://github.com/tangrs/nLaunchy",,4
"nspire-emus/firebird","https://github.com/nspire-emus/firebird","Third-party multi-platform emulator of the ARM-based TI-Nspire calculators",368
"ndless-nspire/Ndless","https://github.com/ndless-nspire/Ndless","The TI-Nspire calculator extension for native applications",454
"KaijoComputer/KaijoComputer.github.io","https://github.com/KaijoComputer/KaijoComputer.github.io",,1
"fushigu/kaijo-fes-2017","https://github.com/fushigu/kaijo-fes-2017",,6
